epoch,loss_train,loss_val,acc_val,lr
1,2.9703,2.8295,20.4573,0.001000
2,1.9875,2.4390,26.2335,0.001000
3,1.4531,2.2804,36.1011,0.001000
4,1.0784,2.2107,38.0265,0.001000
5,0.8489,2.1710,37.7858,0.001000
6,0.6533,2.0543,43.9230,0.001000
7,0.5413,2.1407,45.9687,0.001000
8,0.4522,2.0528,48.7365,0.001000
9,0.3607,2.1602,48.4958,0.001000
10,0.3066,2.2693,48.8568,0.001000
11,0.2808,2.2275,46.2094,0.001000
12,0.2791,2.0820,53.0686,0.001000
13,0.2303,2.0558,52.2262,0.001000
14,0.1927,2.1048,53.6703,0.000500
15,0.1041,1.9515,58.1227,0.000500
16,0.0737,2.0140,58.4838,0.000500
17,0.0670,2.2956,51.8652,0.000500
18,0.0697,2.2344,53.7906,0.000500
19,0.0719,2.1477,56.7990,0.000500
20,0.0674,2.1836,54.7533,0.000500
21,0.0644,2.2877,52.8279,0.000250
22,0.0327,2.1851,55.3550,0.000250
23,0.0262,2.3271,56.6787,0.000250
24,0.0258,2.3534,56.1974,0.000250
25,0.0275,2.5090,53.5499,0.000250
